City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobart,AU,47.26,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
2,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Green leaf
3,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Souillac,MU,69.28,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,Husavik,IS,49.98,overcast clouds,66.0449,-17.3389,Bjarnabúð
8,Thompson,CA,60.3,overcast clouds,55.7435,-97.8558,Burntwood Hotel
10,Busselton,AU,58.48,broken clouds,-33.65,115.3333,Observatory Guest House
11,Vaini,TO,73.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
12,Kapenguria,KE,55.06,light rain,1.2511,35.0895,EDENS HOTEL
14,Jalu,LY,76.98,clear sky,29.0331,21.5482,صاحبة الفخامة
15,Port Alfred,ZA,57.18,clear sky,-33.5906,26.891,The Halyards Hotel
17,Hilo,US,85.28,mist,19.7297,-155.09,Hilo Hawaiian Hotel
18,East London,ZA,58.82,clear sky,-33.0153,27.9116,Tu Casa
19,Klaksvik,FO,47.32,scattered clouds,62.2266,-6.589,Airbnb rooms
20,Arraial Do Cabo,BR,71.17,clear sky,-22.9661,-42.0278,Pousada Porto Praia
21,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
22,Kuznechnoye,RU,66.99,scattered clouds,61.12,29.8686,Konferents Hotel
23,Tommot,RU,69.78,scattered clouds,58.9564,126.2925,Gostinitsa Tommot
24,Victoria,HK,87.33,clear sky,22.2855,114.1577,Mini Central
25,Saldanha,ZA,53.83,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
26,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
27,Galion,US,83.55,clear sky,40.7337,-82.7899,Sleep Inn & Suites
29,Norman Wells,CA,76.93,scattered clouds,65.282,-126.8329,Heritage Hotel
32,Hilton Head Island,US,86.0,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
33,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
36,Itacare,BR,70.83,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
38,Tanete,ID,74.44,broken clouds,-3.9443,119.7848,Wisma Tri Multi
39,Butaritari,KI,81.48,broken clouds,3.0707,172.7902,Isles Sunset Lodge
40,Thunder Bay,CA,74.35,scattered clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
41,Pergamino,AR,54.18,overcast clouds,-33.89,-60.5736,Hotel Fachinat
42,New Norfolk,AU,46.92,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
43,Rikitea,PF,74.1,light rain,-23.1203,-134.9692,People ThankYou
44,Bethel,US,90.64,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
45,Nanortalik,GL,49.91,clear sky,60.1432,-45.2371,Hotel Kap Farvel
46,Yenagoa,NG,74.23,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
48,Muhos,FI,65.98,overcast clouds,64.808,25.9931,Montta - active camping / campsite Montan
49,Jamestown,US,81.95,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
51,Khatanga,RU,52.95,overcast clouds,71.9667,102.5,"""Khatanga"""
53,Bratsk,RU,62.35,few clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
54,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Faanui,PF,77.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Cascais,PT,68.47,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
57,Marystown,CA,64.85,broken clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
58,Puli,TW,79.41,clear sky,23.9664,120.9695,牛耳藝術渡假村木屋區
