City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-07-14 01:10:22,-46.6,168.3333,47.8,75,74,12.91
1,Mataura,NZ,2022-07-14 01:10:22,-46.1927,168.8643,47.48,89,41,5.01
2,Castro,BR,2022-07-14 01:10:23,-24.7911,-50.0119,52.79,96,100,8.63
3,Makakilo City,US,2022-07-14 01:10:23,21.3469,-158.0858,82.72,67,75,21.85
4,Hobart,AU,2022-07-14 01:10:23,-42.8794,147.3294,48.25,80,75,11.5
5,Port Alfred,ZA,2022-07-14 01:10:24,-33.5906,26.891,55.18,74,0,4.0
6,Mount Gambier,AU,2022-07-14 01:10:24,-37.8333,140.7667,52.7,73,100,2.26
7,Kapaa,US,2022-07-14 01:10:24,22.0752,-159.319,85.98,73,20,17.27
8,Nouadhibou,MR,2022-07-14 01:10:25,20.931,-17.0347,67.71,86,49,24.49
9,East London,ZA,2022-07-14 01:06:21,-33.0153,27.9116,57.99,73,0,9.42
10,Vaini,TO,2022-07-14 01:10:25,-21.2,-175.2,76.93,85,21,20.31
11,Ushuaia,AR,2022-07-14 01:10:25,-54.8,-68.3,33.46,80,40,8.05
12,Issoire,FR,2022-07-14 01:10:26,45.55,3.25,67.26,56,94,4.47
13,San Cristobal,VE,2022-07-14 01:06:24,7.7669,-72.225,73.58,88,77,2.55
14,Marawi,PH,2022-07-14 01:10:26,7.9986,124.2928,79.25,67,12,1.28
15,Cape Town,ZA,2022-07-14 01:10:26,-33.9258,18.4232,58.87,93,100,7.0
16,Lorengau,PG,2022-07-14 01:10:27,-2.0226,147.2712,85.33,67,26,6.62
17,Arawa,PG,2022-07-14 01:10:27,-6.2132,155.5367,88.0,62,57,4.88
18,Petropavlovsk-Kamchatskiy,RU,2022-07-14 01:10:27,53.0452,158.6483,68.59,73,20,11.18
19,Bambous Virieux,MU,2022-07-14 01:10:28,-20.3428,57.7575,65.21,74,97,17.72
20,Rikitea,PF,2022-07-14 01:10:28,-23.1203,-134.9692,70.14,81,98,9.28
21,El Rosario,MX,2022-07-14 01:10:28,24.2556,-107.1828,85.32,67,73,8.59
22,Bengkulu,ID,2022-07-14 01:10:29,-3.8004,102.2655,77.74,87,56,2.91
23,Narsaq,GL,2022-07-14 01:10:29,60.9167,-46.05,50.22,67,100,3.96
24,Alice Springs,AU,2022-07-14 01:07:50,-23.7,133.8833,49.55,57,0,10.36
25,Atuona,PF,2022-07-14 01:10:29,-9.8,-139.0333,77.77,74,30,19.66
26,Caravelas,BR,2022-07-14 01:10:30,-17.7125,-39.2481,70.25,92,6,4.29
27,Hermanus,ZA,2022-07-14 01:10:30,-34.4187,19.2345,59.81,86,83,16.31
28,Aksu,CN,2022-07-14 01:10:30,41.1231,80.2644,74.25,36,100,2.71
29,Pangnirtung,CA,2022-07-14 01:10:31,66.1451,-65.7125,46.45,84,92,3.02
30,Busselton,AU,2022-07-14 01:10:31,-33.65,115.3333,60.87,88,100,15.21
31,Butaritari,KI,2022-07-14 01:10:31,3.0707,172.7902,82.69,78,6,17.43
32,Kaitangata,NZ,2022-07-14 01:10:32,-46.2817,169.8464,46.09,85,96,9.08
33,Burgersdorp,ZA,2022-07-14 01:10:32,-30.9977,26.3286,42.44,53,0,4.9
34,Waddan,LY,2022-07-14 01:10:32,29.1614,16.139,71.56,61,0,7.92
35,Punta Arenas,CL,2022-07-14 01:09:38,-53.15,-70.9167,37.51,81,100,16.11
36,Isangel,VU,2022-07-14 01:10:33,-19.55,169.2667,84.31,79,75,9.22
37,Preobrazheniye,RU,2022-07-14 01:10:33,42.9019,133.9064,65.3,98,100,15.17
38,Kysyl-Syr,RU,2022-07-14 01:10:33,63.8986,122.7617,75.56,61,81,2.08
39,Ahipara,NZ,2022-07-14 01:10:34,-35.1667,173.1667,56.16,95,100,7.49
40,Belaya Gora,RU,2022-07-14 01:10:34,68.5333,146.4167,55.98,64,100,9.89
41,Victoria,HK,2022-07-14 01:06:43,22.2855,114.1577,89.26,81,93,1.99
42,Hasaki,JP,2022-07-14 01:10:34,35.7333,140.8333,79.2,83,100,12.59
43,Imeni Babushkina,RU,2022-07-14 01:10:35,59.7573,43.1285,57.25,97,16,4.79
44,Thompson,CA,2022-07-14 01:10:35,55.7435,-97.8558,80.35,33,0,10.33
45,Cabo San Lucas,MX,2022-07-14 01:10:35,22.8909,-109.9124,90.7,45,0,11.5
46,Avarua,CK,2022-07-14 01:11:36,-21.2078,-159.775,75.25,64,75,14.97
47,Baykit,RU,2022-07-14 01:11:36,61.67,96.37,53.55,92,100,1.45
48,Saint-Philippe,RE,2022-07-14 01:11:36,-21.3585,55.7679,64.22,80,68,11.01
49,Port Moresby,PG,2022-07-14 01:11:37,-9.4431,147.1797,76.42,83,100,23.02
50,Belyy Yar,RU,2022-07-14 01:11:37,53.6039,91.3903,58.89,72,0,2.24
51,Sedan,FR,2022-07-14 01:11:37,49.6667,5.0,61.81,77,38,3.67
52,Pastrana,PH,2022-07-14 01:11:38,11.1367,124.8856,85.01,71,83,2.71
53,Jamestown,US,2022-07-14 01:11:02,42.097,-79.2353,67.59,72,40,6.91
54,Coahuayana,MX,2022-07-14 01:11:11,18.7333,-103.6833,81.75,83,100,3.87
55,Abyek,IR,2022-07-14 01:11:38,36.0667,50.55,71.2,42,0,2.28
56,Torbay,CA,2022-07-14 01:11:38,47.6666,-52.7314,66.97,88,100,18.41
57,Hilo,US,2022-07-14 01:08:40,19.7297,-155.09,82.27,94,100,11.5
58,Souillac,MU,2022-07-14 01:11:07,-20.5167,57.5167,69.76,72,73,15.5
59,Albany,US,2022-07-14 01:11:39,42.6001,-73.9662,70.34,85,100,3.71
60,Barrow,US,2022-07-14 01:11:39,71.2906,-156.7887,42.82,70,0,16.11
61,Jiuquan,CN,2022-07-14 01:11:40,39.7432,98.5174,79.27,33,100,3.65
62,Pringsewu,ID,2022-07-14 01:11:40,-5.3582,104.9744,76.3,94,99,0.83
63,Oak Ridge,US,2022-07-14 01:07:44,36.0104,-84.2696,80.26,66,75,0.0
64,Sitka,US,2022-07-14 01:08:45,57.0531,-135.33,57.09,82,100,0.0
65,Hun,LY,2022-07-14 01:11:40,29.1268,15.9477,72.01,56,0,4.38
66,Vardo,NO,2022-07-14 01:11:41,70.3705,31.1107,51.78,100,100,8.05
67,New Norfolk,AU,2022-07-14 01:11:41,-42.7826,147.0587,47.91,73,100,3.2
68,Tiksi,RU,2022-07-14 01:11:41,71.6872,128.8694,40.05,91,92,8.19
69,Delray Beach,US,2022-07-14 01:10:04,26.4615,-80.0728,84.22,81,20,9.22
70,Nikolskoye,RU,2022-07-14 01:11:42,59.7035,30.7861,63.81,85,15,5.14
71,Pontianak,ID,2022-07-14 01:11:42,-0.0333,109.3333,76.98,88,20,4.61
72,Cherskiy,RU,2022-07-14 01:11:42,68.75,161.3,55.58,46,18,18.63
73,Buraydah,SA,2022-07-14 01:10:05,26.326,43.975,86.67,14,100,9.26
74,Pisco,PE,2022-07-14 01:11:43,-13.7,-76.2167,59.05,88,0,16.11
75,Margate,GB,2022-07-14 01:11:43,51.3813,1.3862,64.31,89,100,1.01
76,Sangar,RU,2022-07-14 01:11:43,63.9242,127.4739,68.74,71,100,7.63
77,Lompoc,US,2022-07-14 01:11:44,34.6391,-120.4579,80.02,76,0,13.8
78,Mackenzie,CA,2022-07-14 01:11:44,55.2999,-123.1698,62.82,48,75,9.22
79,Pevek,RU,2022-07-14 01:11:07,69.7008,170.3133,38.32,81,100,10.78
80,Komsomolskiy,UZ,2022-07-14 01:11:44,40.4272,71.7189,70.52,52,0,6.91
81,Morros,BR,2022-07-14 01:11:45,-9.4467,-46.3003,82.02,35,100,8.08
82,Georgetown,MY,2022-07-14 01:07:22,5.4112,100.3354,83.89,85,40,2.3
83,Airai,TL,2022-07-14 01:11:45,-8.9266,125.4092,62.78,64,99,4.29
84,Emerald,AU,2022-07-14 01:11:45,-23.5333,148.1667,57.34,54,0,12.55
85,Chokurdakh,RU,2022-07-14 01:11:46,70.6333,147.9167,53.94,45,3,10.31
86,Cayenne,GF,2022-07-14 01:09:07,4.9333,-52.3333,81.09,1,100,2.3
87,Walvis Bay,NA,2022-07-14 01:11:46,-22.9575,14.5053,54.09,77,0,12.41
88,Laizhou,CN,2022-07-14 01:11:46,37.1717,119.9214,84.4,68,39,3.27
89,Ancud,CL,2022-07-14 01:11:47,-41.8697,-73.8203,41.23,88,100,12.26
90,Port Elizabeth,ZA,2022-07-14 01:09:56,-33.918,25.5701,60.31,62,0,11.01
91,Mizdah,LY,2022-07-14 01:11:47,31.4451,12.9801,67.98,64,0,7.87
92,Yellowknife,CA,2022-07-14 01:11:48,62.456,-114.3525,60.57,59,100,8.97
93,Dali,CN,2022-07-14 01:11:17,25.7,100.1833,71.1,72,0,2.26
94,Grand-Santi,GF,2022-07-14 01:12:48,4.25,-54.3833,73.11,99,100,2.17
95,Poum,NC,2022-07-14 01:12:48,-20.2333,164.0167,74.66,62,100,17.11
96,Manjacaze,MZ,2022-07-14 01:12:49,-24.7117,33.8828,58.39,73,0,6.89
97,Clyde River,CA,2022-07-14 01:12:49,70.4692,-68.5914,43.47,75,83,6.26
98,Port Lincoln,AU,2022-07-14 01:12:49,-34.7333,135.8667,55.78,66,0,6.53
99,Tuatapere,NZ,2022-07-14 01:12:50,-46.1333,167.6833,45.14,83,83,8.97
100,Calama,CL,2022-07-14 01:12:50,-22.4667,-68.9333,44.64,50,35,3.96
